Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Diversity Spotlight (US Headquarters Only),Founded Date,Founded Date Precision,Number of Investments,Number of Diversity Investments,Number of Exits,Founders,Number of Employees,Funding Status,Last Funding Date,Last Funding Type,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Last Leadership Hiring Date,Last Layoff Mention Date,Contact Job Departments,Number of Contacts
Engine Biosciences,https://www.crunchbase.com/organization/engine-biosciences,"Artificial Intelligence (AI), Biotechnology, Health Care, Machine Learning","Singapore, Central Region, Singapore",Engine Biosciences is a biotech company that applies machine learning to genomics for drug discovery.,,2014-01-01,year,,,,"Jeffrey Lu, Timothy K. Lu",11-50,Early Stage Venture,2023-10-31,Series A,,,,,,,,,,Private,,,,,,"Engineering, Management, Medical & Science, Operations, Pro Services",25
Infervision,https://www.crunchbase.com/organization/infervision,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Machine Learning, Medical, Software","Beijing, Beijing, China",Infervision is an AI high-tech company that uses deep learning technology and computer vision to help diagnose cancers.,,2015-01-01,year,,,,"Chen Kuan, Shaokang Wang",251-500,Late Stage Venture,2021-07-23,Series D,,,,,,,,,,Private,,,,,,"Engineering, Operations",11
OrCam Technologies,https://www.crunchbase.com/organization/orcam-technologies,"Artificial Intelligence (AI), Assistive Technology, Fitness, Health Care, Medical Device, Wearables, Wellness","Jerusalem, Yerushalayim, Israel",OrCam harnesses the power of artificial vision in an intuitive portable device that compensates for lost visual abilities.,,2010-01-01,year,,,,"Amnon Shashua, Ziv Aviram",251-500,,2018-02-20,Venture - Series Unknown,,,,,,,,,,Private,,,,,2022-10-24,"Management, Marketing, Pro Services, Sales",19
Scopio Labs,https://www.crunchbase.com/organization/scopio-2,"Artificial Intelligence (AI), Health Diagnostics, Image Recognition, Information Technology, Medical Device","Tel Aviv, Tel Aviv, Israel",Scopio Labs provides digital cell morphology imaging and AI solutions for hematology microscopy and diagnostics.,,2015-01-01,year,,,,"Erez Naaman, Itai Hayut",51-100,Late Stage Venture,2022-02-09,Series C,,,,,,,,,,Private,,,,,,"Engineering, Management, Marketing, Medical & Science, Operations, Sales",31
Neteera,https://www.crunchbase.com/organization/neteera-technologies-ltd,"Artificial Intelligence (AI), Baby, Elder Care, Health Care, Internet of Things, Medical Device, Semiconductor, Sensor","Jerusalem, Yerushalayim, Israel","Neteera developed an AI-powered sensing platform to reduce treatment failures & improve outcomes in health screening, diagnosis & treatment.",,2014-12-01,month,,,,"Haim Goldberger, Isaac Litman",11-50,Early Stage Venture,2023-10-31,Series B,,,,,,,,,,Private,,,,,,"Engineering, Operations",7
Sight Diagnostics,https://www.crunchbase.com/organization/sight-diagnostics,"Artificial Intelligence (AI), Computer Vision, Health Care, Health Diagnostics, Machine Learning, Medical, Medical Device","Tel Aviv, Tel Aviv, Israel",Sight Diagnostics is a medical platform for diagnosing blood diseases using digital fluorescent microscopy.,,2011-01-01,year,,,,Daniel Levner,101-250,Late Stage Venture,2020-08-05,Series D,,,,,,,,,,Private,,,,,,"Engineering, Finance, Human Resources, Information Technology, Management, Marketing, Medical & Science, Operations, Product, Sales",37
SigTuple,https://www.crunchbase.com/organization/sigtuple,"Analytics, Artificial Intelligence (AI), Big Data, Health Care, Machine Learning, Software","Bangalore, Karnataka, India",SigTuple builds intelligent solutions for medical diagnosis using state of the art machine learning techniques.,,2015-07-24,day,,,,"Apurv Anand, Bharath Cheluvaraju, Rohit Kumar Pandey, Tathagato Dastidar",101-250,Late Stage Venture,2023-03-01,Series C,,,,,,,,,,Private,,,,,,"Engineering, Operations, Product",7
FiNC,https://www.crunchbase.com/organization/finc,"Analytics, Artificial Intelligence (AI), Fitness, Health Care, Medical, Nutrition, Wellness","Tokyo, Tokyo, Japan","FiNC combines data analysis, rich content, and social elements to help users log, understand, manage, and improve their health and wellness.",,2012-04-01,month,3,,2,"Akimoto Yukihiro, Yuji Mizoguchi",101-250,,2021-03-25,Venture - Series Unknown,,,,,,,,,,Private,,,,,,,
Prospection,https://www.crunchbase.com/organization/prospection,"Analytics, Artificial Intelligence (AI), Big Data, Health Care, Information Technology, Machine Learning, Pharmaceutical, Predictive Analytics","Sydney, New South Wales, Australia",Leading provider of actionable real world evidence through artificial intelligence and machine learning technology.,,2012-01-01,year,,,,"Eric Chung, Peter Cronin, Ricky Chen",101-250,,2022-01-24,Corporate Round,,,,,,,,,,Private,,,,2023-09-26,,"Engineering, Human Resources, Operations, Product, Sales",29
Naluri Life,https://www.crunchbase.com/organization/naluri-hidup,"Artificial Intelligence (AI), Health Care, InsurTech, Mental Health, mHealth, Therapeutics","Kuala Lumpur, Kuala Lumpur, Malaysia","Naluri is a digital health solution platform that predicts, prevents, and manages cardiometabolic and mental health conditions.",,2017-01-01,year,,,,"Azran Osman-Rani, Hariyati Abdul Majid, Jeremy Ting",101-250,Early Stage Venture,2022-06-21,Series B,,,,,,,,,,Private,,,,,,"Engineering, Information Technology, Operations",7
Laguna Health,https://www.crunchbase.com/organization/laguna-health,"Artificial Intelligence (AI), Health Care, Home Health Care, Natural Language Processing, Software, Wellness","Tel Aviv, Tel Aviv, Israel",Conversational Intelligence for Care,,2020-01-01,year,,,,"Yael Peled, Yoni Shtein",11-50,Early Stage Venture,2023-05-16,Series A,,,,,,,,,,Private,,,,,,"Engineering, Human Resources, Information Technology, Management, Operations, Product",18
DeepTek,https://www.crunchbase.com/organization/deeptek,"Artificial Intelligence (AI), Health Care, Machine Learning","Pune, Maharashtra, India",The company employs people with strong and deep knowledge in Information Technology.,,2017-01-01,year,,,,Ajit Patil,51-100,Early Stage Venture,2022-03-07,Series A,,,,,,,,,,Private,,,,,,"Engineering, Information Technology, Operations",8
Binah.ai,https://www.crunchbase.com/organization/binah-ai,"Artificial Intelligence (AI), Health Care, InsurTech, Software, Wellness","Ramat Gan, Tel Aviv, Israel",Binah.ai is a video-based health data platform that offers health and wellness monitoring solutions.,,2016-01-01,year,,,,"David Maman, Konstantin Gedalin, Michael Markzon",51-100,Early Stage Venture,2019-06-09,Series B,,,,,,,,,,Private,,,,,,"Engineering, Management, Marketing, Operations, Product, Sales",27
Artivatic.ai,https://www.crunchbase.com/organization/artivatic-data-labs,"Artificial Intelligence (AI), Employee Benefits, Fraud Detection, Health Care, Machine Learning, Outpatient Care, Personal Health, Sales Automation","Bangalore, Karnataka, India","AI powered Healthtech & Insurtech Platform. Smart Underwriting, AIHealth Claims, Patient Health App, Unified Provider Health System.",,2018-01-05,day,,,,"Layak Singh, Puneet Tandon",51-100,M&A,2022-02-15,Series A,Artivatic.ai acquired by RenewBuy,https://www.crunchbase.com/acquisition/renewbuy-acquires-artivatic-data-labs--bd65e291,RenewBuy,https://www.crunchbase.com/organization/renewbuy,2022-02-21,day,,,,Private,,,,,,"Engineering, Information Technology, Operations",3
Mesh Bio,https://www.crunchbase.com/organization/mesh-bio,"Analytics, Artificial Intelligence (AI), Biotechnology, Health Care, Information Technology, Predictive Analytics","Bukit Merah, Central Region, Singapore",Mesh Bio is a digital health startup that is transforming chronic disease management through predictive analytics.,,2018-01-01,year,,,,"Andrew Wu, Arsen Batagov, Melvin Heng",11-50,Early Stage Venture,2023-10-12,Series A,,,,,,,,,,Private,,,,,,,1
Nucleai,https://www.crunchbase.com/organization/nucleai,"Artificial Intelligence (AI), Health Care, Machine Learning","Tel Aviv, Tel Aviv, Israel",Nucleai is a spatial biology company that has developed an AI-powered platform to enhance drug development and improve patient outcomes.,,2017-01-01,year,,,,"Avi Veidman, Eliron Amir, Lotan Chorev",51-100,Early Stage Venture,2022-03-22,Series B,,,,,,,,,,Private,,,,,,Operations,1
Heidi Health,https://www.crunchbase.com/organization/oscer,"Artificial Intelligence (AI), E-Learning, Health Care, Primary and Urgent Care, Software, Subscription Service","Melbourne, Victoria, Australia",Heidi Health is reinventing primary care with beautiful AI-powered software to increase the quality and accessibility of care.,,2019-01-01,year,,,,"Thomas Kelly, Waleed Mussa, Yu Liu",11-50,Early Stage Venture,2023-10-25,Series A,,,,,,,,,,Private,,,,,,"Human Resources, Management",2
Diagnostic Robotics,https://www.crunchbase.com/organization/diagnostic-robotics,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Hospital, Robotics","Tel Aviv, Tel Aviv, Israel","Diagnostic Robotic develops a signal-agnostic artificial intelligence system for healthcare insurers, providers, and patients.",,2017-08-01,day,,,,"Jonathan Amir, Kira Radinsky, Moshe Shoham",51-100,Early Stage Venture,2022-07-25,Series B,,,,,,,,,,Private,,,,,,"Engineering, Finance, Human Resources, Information Technology, Management, Marketing, Operations, Pro Services, Product",31
Smiles.ai,https://www.crunchbase.com/organization/smiles-ai,"Artificial Intelligence (AI), Dental, Health Care","Bangalore, Karnataka, India",Smiles.ai leverages technology and healthcare professionals to provide high-quality and cost-effective dental care products and services.,,2019-01-01,year,,,,,101-250,Early Stage Venture,2022-01-23,Series A,,,,,,,,,,Private,,,,,,,
AiVF,https://www.crunchbase.com/organization/aivf,"Artificial Intelligence (AI), Big Data, Health Care","Tel Aviv, Tel Aviv, Israel",AIVF is an artificial intelligence support platform for IVF treatments.,,2018-01-01,day,,,,"Daniel Seidman, Daniella Gilboa",11-50,Early Stage Venture,2022-06-22,Series A,,,,,,,,,,Private,,,,,,"Engineering, Management, Operations",15
Bot MD,https://www.crunchbase.com/organization/botmd,"Artificial Intelligence (AI), Health Care, Medical, Mobile Apps","Singapore, Central Region, Singapore",Bot MD is an artificial intelligence clinical assistant for doctors.,,2018-01-01,year,,,,"Dorothea Koh, Yanchuan Sim",11-50,Early Stage Venture,2021-02-03,Series A,,,,,,,,,,Private,,,,,,"Engineering, Marketing",4
Omniscient Neurotechnology,https://www.crunchbase.com/organization/omniscient-neurotechnology,"Artificial Intelligence (AI), Bioinformatics, Health Care, Machine Learning, Medical Device, Neuroscience","Sydney, New South Wales, Australia",Omniscient Neurotechnology is a pioneering brain mapping company that is revolutionizing brain care with data,,2019-01-01,year,,,,"Michael Sughrue, Stephane Doyen",51-100,Early Stage Venture,2021-07-14,Series B,,,,,,,,,,Private,,,,,,"Engineering, Legal, Management, Pro Services, Sales",49
Nuwa Robotics,https://www.crunchbase.com/organization/nuwa-robotics,"Apps, Artificial Intelligence (AI), EdTech, Health Care, Machine Learning, Robotics, Software","Taipei, T'ai-pei, Taiwan","5G Robot, Education Tech, Health Tech, Personal Robot",,2016-01-01,year,,,,Leo Guo,51-100,Early Stage Venture,2023-08-21,Series B,,,,,,,,,,Private,,,,,,,
SiBionics,https://www.crunchbase.com/organization/sibionics,"Artificial Intelligence (AI), Health Care, Medical Device","Shenzhen, Guangdong, China",SiBionics is a medtech company that engages in the field of chronic disease management.,,2015-01-01,year,,,,,501-1000,Late Stage Venture,2022-12-21,Series D,,,,,,,,,,Private,,,,,,,2
togetherAI,https://www.crunchbase.com/organization/togetherai,"Artificial Intelligence (AI), Education, Health Care, Information Technology, Machine Learning, Mental Health, Social Media, Software","Sydney, New South Wales, Australia",TogetherAI helps protect kids online and supports families to connect and communicate about mental health and well-being.,,2020-12-01,day,,,,Josh Wilson,11-50,Seed,2021-06-01,Seed,,,,,,,,,,Private,,,,,,,
Voiceitt,https://www.crunchbase.com/organization/voiceitt,"Artificial Intelligence (AI), Assistive Technology, mHealth, Software","Tel Aviv, Tel Aviv, Israel",Voiceitt is an automatic speech recognition technology platform.,,2012-06-01,day,,,,"Danny Weissberg, Sara Smolley, Stas Tiomkin",11-50,,2022-12-02,Venture - Series Unknown,,,,,,,,,,Private,,,,2023-09-14,,"Operations, Sales",12
Vuno,https://www.crunchbase.com/organization/vuno,"Artificial Intelligence (AI), Health Care, Medical","Seoul, Seoul-t'ukpyolsi, South Korea",Artificial Intelligence for Doctors and Patients.,,2014-01-01,year,1,,,"Dannis Kim, Kyu-Hwan Jung, Yeha Lee",101-250,Early Stage Venture,2020-05-19,Series B,,,,,,,,,,Private,,,,,,"Engineering, Medical & Science, Operations, Sales",14
Rotimatic,https://www.crunchbase.com/organization/zimplistic,"Artificial Intelligence (AI), Consumer Electronics, Cooking, Food Processing, Hardware, Health Care, Machine Learning, Product Design, Robotics, Software","Singapore, Central Region, Singapore",Rotimatic is a product design company inventing intelligent kitchen appliances that promote healthy eating through simplicity & automation.,,2008-06-01,day,,,,"Pranoti Nagarkar, Rishi Israni",101-250,Late Stage Venture,2018-04-17,Series C,,,,,,,,,,Private,,,,,,,
Wearable Devices,https://www.crunchbase.com/organization/wearable-devices-ltd,"Artificial Intelligence (AI), Augmented Reality, Health Care, Human Computer Interaction, Machine Learning, Metaverse, Software, Virtual Reality, Wearables","Yoqne`am `illit, HaZafon, Israel","Developing Mudra, a Brain-Computer Interface  wristband that uses neural impulses as input to control digital devices",,2014-03-13,day,,,,"Asher Dahan, Guy Wagner, Leeor Langer",1-10,IPO,2023-11-13,Post-IPO Equity,,,,,,,,,,Public,2022-09-13,,,,,"Engineering, Operations, Product",8
Healint,https://www.crunchbase.com/organization/healint,"Analytics, Artificial Intelligence (AI), Big Data, Health Care, Machine Learning, Medical, Mobile","Singapore, Central Region, Singapore","Healint helps people who suffer from migraine and other neurological conditions using machine learning, sensor technologies, and analytics.",,2013-01-01,year,,,,"Ali Elgamal, Francois Cadiou, Veronica Chew",11-50,M&A,2017-06-06,Venture - Series Unknown,Healint acquired by Aptar Digital Health,https://www.crunchbase.com/acquisition/aptar-digital-health-acquires-healint--61c256da,Aptar Digital Health,https://www.crunchbase.com/organization/aptar-digital-health,2024-02-21,day,,,,Private,,,,,,,2
Asleep,https://www.crunchbase.com/organization/asleep,"Artificial Intelligence (AI), Health Care, Information Technology","Seoul, Seoul-t'ukpyolsi, South Korea",Asleep is a sleep tech company that offers sleep-monitoring AI software and an app that analyzes the frequency patterns of breathing.,,2020-01-01,year,,,,"Dong Heon Lee, Joonki Hong",51-100,Early Stage Venture,2022-03-31,Series B,,,,,,,,,,Private,,,,,,Engineering,12
Visit,https://www.crunchbase.com/organization/visit-internet-services,"Artificial Intelligence (AI), Chatbot, Health Care, Machine Learning, Wellness","New Delhi, Delhi, India",AI driven chatbot to provide health advice within minutes. ,,2016-01-01,year,,,,"Anurag Prasad, Chetan Anand, Shashvat Tripathi, Vaibhav Singh",1-10,Early Stage Venture,2021-10-11,Series A,,,,,,,,,,Private,,,,,,"Engineering, Information Technology, Management, Operations",15
Wisdo Health,https://www.crunchbase.com/organization/wisdo,"Apps, Artificial Intelligence (AI), Health Care, Internet, Mobile, Mobile Apps, Software, Web Development","Ramat Gan, Tel Aviv, Israel",Wisdo is an AI-powered Social Health platform harnessing the power of data and meaningful connections to improve health.,,2017-01-01,year,,,,Boaz Gaon,11-50,Early Stage Venture,2023-01-05,Series A,,,,,,,,,,Private,,,,,,"Engineering, Finance, Information Technology, Management, Marketing",13
Medipixel,https://www.crunchbase.com/organization/medipixel,"Artificial Intelligence (AI), Health Care, Machine Learning, Robotics","Seoul, Seoul-t'ukpyolsi, South Korea",Medipixel is a healthcare technology company that has created a number of AI-enhanced solutions for intervention surgeons.,,2017-04-06,day,,,,Andy Song,11-50,Early Stage Venture,2023-10-26,Series B,,,,,,,,,,Private,,,,,,"Engineering, Operations",2
Standigm,https://www.crunchbase.com/organization/standigm,"Artificial Intelligence (AI), Biotechnology, Health Care, Machine Learning, Pharmaceutical","Seoul, Seoul-t'ukpyolsi, South Korea",Standigm is an AI-driven workflow drug discovery company that aims to improve the success rates and efficiency of new drug development.,,2015-05-04,day,,,,"Jinhan Kim, Sang Ok Song, So Jeong Yun",101-250,Late Stage Venture,2021-06-30,Series D,,,,,,,,,,Private,,,,2022-08-18,,"Engineering, Management, Medical & Science, Operations",9
Nuvilab,https://www.crunchbase.com/organization/nuvi-lab,"Artificial Intelligence (AI), Big Data, Catering, Computer Vision, Health Care, Information Technology, Machine Learning, Nutrition, Software, Waste Management","Seoul, Seoul-t'ukpyolsi, South Korea",Dataware for Food Services,,2018-11-20,day,,,,"Daehoon Kim, Jeyyoon Ru",51-100,Early Stage Venture,2022-09-07,Series A,,,,,,,,,,Private,,,,,,,
Imagene AI,https://www.crunchbase.com/organization/imagene-ai,"Artificial Intelligence (AI), Biotechnology, Health Care, Health Diagnostics","Tel Aviv, Tel Aviv, Israel","Imagene provides AI-based molecular testing for cancer, detecting in real-time, a broad range of cancerous biomarkers from the biopsy image",,2020-01-01,year,,,,"Dean Bitan, Jonathan Zalach, Shahar Porat",11-50,Early Stage Venture,2022-05-02,Series A,,,,,,,,,,Private,,,,,,"Engineering, Management, Medical & Science, Sales",7
Us2.ai,https://www.crunchbase.com/organization/us2-ai,"Artificial Intelligence (AI), Health Care, Machine Learning, Medical, Medical Device, mHealth, Software","Singapore, Central Region, Singapore",Us2.ai develops software and digital tools for echocardiography using artificial intelligence.,,2017-01-01,year,,,,James Hare,11-50,Early Stage Venture,2022-04-14,Series A,,,,,,,,,,Private,,,,,,"Engineering, Human Resources",4
Maverick Medical AI,https://www.crunchbase.com/organization/maverick-medical-ai,"Artificial Intelligence (AI), FinTech, Health Care, Machine Learning","Tel Aviv-yafo, Tel Aviv, Israel",Maverick Medical AI discovers & unlock the full value of risk adjustment to help achieve financial success.,,2017-01-01,year,,,,Michael Brozino,1-10,Seed,2022-03-07,Seed,,,,,,,,,,Private,,,,2020-08-05,,"Information Technology, Management",3
Calumino,https://www.crunchbase.com/organization/calumino,"Artificial Intelligence (AI), Automotive, Health Care, Industrial, Intrusion Detection, Nanotechnology, Privacy, Public Safety, Security, Sensor","Sydney, New South Wales, Australia",Shaping tomorrow with intelligent thermal sensing,,2014-01-01,year,,,,"Dr. Gabrielle de Wit, Marek Steffanson, Martin Kratky, Peter Fabian",11-50,Early Stage Venture,2022-09-01,Series A,,,,,,,,,,Private,,,,,,"Engineering, Operations",9
Mito Health,https://www.crunchbase.com/organization/mito-health,"Artificial Intelligence (AI), Health Care, Medical, Personal Health","Singapore, Central Region, Singapore",Mito Health is an AI-powered medical healthtech that provides advances to revolutionize the future of personalized preventative care.,,2023-01-01,year,,,,"Joel Kek, Kenneth Lou, Ryan Ware, Tee Ming Chew",1-10,Seed,2023-04-18,Pre-Seed,,,,,,,,,,Private,,,,,,Operations,3
Connective,https://www.crunchbase.com/organization/connective-63d3,"Artificial Intelligence (AI), Health Care, Robotics","Seoul, Seoul-t'ukpyolsi, South Korea",Connective is a robotics company that develops artificial intelligence-based artificial joint surgery robots.,,2021-05-01,month,,,,,1-10,Seed,2024-01-31,Seed,,,,,,,,,,Private,,,,,,,
MindRank AI,https://www.crunchbase.com/organization/mindrank-ai,"Artificial Intelligence (AI), Biotechnology, Health Care, Pharmaceutical, Precision Medicine","Shanghai, Shanghai, China",MindRank is a clinical stage AI-powered drug discovery company.,,2020-12-23,day,,,,Zhangming Niu,11-50,Early Stage Venture,2023-07-18,Series A,,,,,,,,,,Private,,,,,,Operations,1
Medi Whale,https://www.crunchbase.com/organization/medi-whale,"Artificial Intelligence (AI), Health Care, Medical, Medical Device, Software","Mapo, Seoul-t'ukpyolsi, South Korea",Medi Whale offers medical AI software for disease detection.,,2016-12-29,day,,,,"G.Young Lee, Kevin Choi, Tyler Rim",11-50,Early Stage Venture,2023-04-18,Series A,,,,,,,,,,Private,,,,,,,
Shukun Technology,https://www.crunchbase.com/organization/shukun-technology,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Machine Learning, Medical","Beijing, Beijing, China",Shukun Technology is a Chinese AI medical company that focuses on developing diagnostics systems for chronic diseases.,,2017-01-01,year,1,,,Chun'e Ma,51-100,Late Stage Venture,2021-08-17,Series D,,,,,,,,,,Private,,,,,,,
iCarbonX,https://www.crunchbase.com/organization/icarbonx,"Artificial Intelligence (AI), Biotechnology, Health Care, Machine Learning","Shenzhen, Guangdong, China",iCarbonX is a China-based artificial intelligence platform for health data company.,,2015-10-27,day,7,,4,"Chun Wu, Hao Li, Jun Wang, Yingrui Li",51-100,Early Stage Venture,2016-07-15,Series A,,,,,,,,,,Private,,,,,,"Engineering, Information Technology",5
HUINNO,https://www.crunchbase.com/organization/huinno-inc,"Artificial Intelligence (AI), Health Care, Hospital, Machine Learning, Mobile, Software, Wearables","Seoul, Seoul-t'ukpyolsi, South Korea","Combining the wearables tech and AI-based analytics to prevent chronic cardiac diseases including arrhythmia, stroke, and hypertension",,2014-06-01,month,1,,,"Steven Baek, Yeongjoon Gil",51-100,Late Stage Venture,2021-12-28,Series C,,,,,,,,,,Private,,,,,,Engineering,2
MyndYou,https://www.crunchbase.com/organization/myndyou,"Artificial Intelligence (AI), Elder Care, Health Care, Home Health Care, mHealth, Neuroscience","Herzliya, Tel Aviv, Israel",MyndYou is an  AI-based platform that empowers practitioners to deliver personalized and data-driven cognitive care to seniors.,,2016-01-01,year,,,,"Dan Sztybel, Itay Baruchi, Ruth Poliakine",11-50,Early Stage Venture,2023-04-25,Series A,,,,,,,,,,Private,,,,,,"Engineering, Information Technology, Management, Operations, Support",9
CXA Group,https://www.crunchbase.com/organization/connexionsasia,"Artificial Intelligence (AI), Employee Benefits, Fitness, Health Care, Information Technology, Wellness","Singapore, Central Region, Singapore",CXA is a AI-powered health and wellness eco-system.,,2013-01-01,year,,,,Rosaline Koo,101-250,Late Stage Venture,2019-03-13,Series C,,,,,,,,,,Private,,,,,2021-03-22,"Engineering, Operations",11
Artrya,https://www.crunchbase.com/organization/artrya,"Artificial Intelligence (AI), Biotechnology, Health Care, Health Diagnostics, Machine Learning, Medical, Software","Perth, Western Australia, Australia",Artrya uses artificial intelligence to deliver faster and more accurate diagnoses of Coronary Artery Disease.,,2019-01-01,year,,,,"John Barrington, John Konstantopoulos",11-50,IPO,2021-05-25,Series A,,,,,,,,,,Public,2021-11-26,,,,,"Engineering, Management, Operations, Product, Support",19
